"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"01/10/2020","SouthStar Energy Services LLC","25","Retail Program Requirements","Q4-2019 Greener Life Offset retirements","ACR-US-398-2019-820-26391 to 26415","2019","Version 1.0","4/17/2019 3:10:29 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR398","Bluesource - Doe Mountain Improved Forest Management Project","US","Johnson County, Tennessee","TENNESSEE","Forest Carbon",
"01/09/2020","Arbor Day Foundation","7500","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2015-646-779832 to 787331","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/08/2020","The Nature Conservancy","2470","On Behalf of Third Party","Retired on behalf of Disney's 2019 greenhouse gas emissions","ACR-US-394-2017-790-1 to 2470","2017","Version 1.0","12/3/2018 7:56:18 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR394","Hiawatha Club Carbon Project","US","East Stroudsburg","PENNSYLVANIA","Forest Carbon",
"01/08/2020","The Nature Conservancy","12968","On Behalf of Third Party","Retired on behalf of Disney's 2019 greenhouse gas emissions","ACR-US-394-2017-789-1 to 12968","2017","Version 1.0","12/3/2018 7:56:18 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR394","Hiawatha Club Carbon Project","US","East Stroudsburg","PENNSYLVANIA","Forest Carbon",
"01/03/2020","Element Markets Emissions, LLC","24395","Environmental Benefit","On behalf of Seabulk Towing, Inc.","ACR-US-112-2006-111-200476928 to 200501322","2006","Version 1.0","8/30/2007","No","","ACR112","Dolton LFG to Energy","US","Dolton","ILLINOIS","Landfill Gas Capture & Combustion",
"01/03/2020","Blue Source","1000","On Behalf of Third Party","On Behalf of Cloverly","ACR-US-375-2019-877-14005 to 15004","2019","Version 1.0","8/22/2019 8:25:27 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"12/24/2019","The Climate Trust","406","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-159-2007-264-201252912 to 201253317","2007","Version 1.0","12/17/2007","No","","ACR159","Truck Stop Electrification, West Virginia","US","West Virginia","WEST VIRGINIA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","503","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-159-2007-427-1 to 503","2007","Version 1.0","6/2/2016 2:33:31 PM","No","","ACR159","Truck Stop Electrification, West Virginia","US","West Virginia","WEST VIRGINIA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","204","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-263-2007-544-1 to 204","2007","Version 1.0","6/2/2016 2:47:40 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR263","Truck Stop Electrification, Washington","US","Spokane, WA","WASHINGTON","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","1246","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-156-2007-439-1646 to 2891","2007","Version 1.0","6/2/2016 2:42:17 PM","No","","ACR156","Truck Stop Electrification, Tennessee","US","Tennessee","TENNESSEE","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","592","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-155-2007-253-201206977 to 201207568","2007","Version 1.0","12/17/2007","No","","ACR155","Truck Stop Electrification, South Carolina","US","South Carolina","SOUTH CAROLINA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","847","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-155-2007-443-1 to 847","2007","Version 1.0","6/2/2016 2:42:29 PM","No","","ACR155","Truck Stop Electrification, South Carolina","US","South Carolina","SOUTH CAROLINA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","204","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-154-2007-249-201201819 to 201202022","2007","Version 1.0","12/17/2007","No","","ACR154","Truck Stop Electrification, Pennsylvania","US","Pennsylvania","PENNSYLVANIA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","5837","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-154-2007-447-1 to 5837","2007","Version 1.0","6/2/2016 2:42:41 PM","No","","ACR154","Truck Stop Electrification, Pennsylvania","US","Pennsylvania","PENNSYLVANIA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","4000","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-154-2007-249-201202023 to 201206022","2007","Version 1.0","12/17/2007","No","","ACR154","Truck Stop Electrification, Pennsylvania","US","Pennsylvania","PENNSYLVANIA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","967","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-153-2007-451-1 to 967","2007","Version 1.0","6/2/2016 2:42:52 PM","No","","ACR153","Truck Stop Electrification, Oregon","US","Oregon","OREGON","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","400","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-151-2007-459-4837 to 5236","2007","Version 1.0","6/2/2016 2:43:14 PM","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","107","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-151-2007-459-2230 to 2336","2007","Version 1.0","6/2/2016 2:43:14 PM","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","4","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-188-2011-369-3652 to 3655","2011","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","2183","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-131-2007-532-139 to 2321","2007","Version 1.0","6/2/2016 2:46:44 PM","No","","ACR131","Truck Stop Electrification, Arizona","US","Arizona","ARIZONA","Transport / Fleet Efficiency",
"12/24/2019","The Climate Trust","2500","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Avanrid-Klamath Expansion Project","ACR-US-151-2007-459-2337 to 4836","2007","Version 1.0","6/2/2016 2:43:14 PM","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"12/24/2019","Blue Source","25","On Behalf of Third Party","On behalf of the Town of West Springfield","ACR-US-376-2018-864-14068 to 14092","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"12/19/2019","Arbor Day Foundation","5","On Behalf of Third Party","On Behalf of Thomas Gravely","ACR-US-114-2017-735-120001 to 120005","2017","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"12/18/2019","Blue Source","300","On Behalf of Third Party","On behalf of The Nature Conservancy","ACR-US-376-2018-864-29093 to 29392","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"12/17/2019","3Degrees Group, Inc.","5000","On Behalf of Third Party","Transaction Reference 13129","ACR-US-114-2016-736-98302 to 103301","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"12/10/2019","C2I LLC","320","Other","on behalf of Winrock Board and executive team members","ACR-US-114-2013-385-476899 to 477218","2013","Version 1.0","5/1/2015 11:46:57 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"12/09/2019","Natural Capital Partners Americas, LLC","7875","On Behalf of Third Party","PwC 2019 Carbon Offset Purchase","ACR-US-126-2015-681-261559 to 269433","2015","Version 1.0","10/4/2017 11:04:34 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"12/09/2019","Natural Capital Partners Americas, LLC","10000","On Behalf of Third Party","PwC 2018 Carbon Offset Purchase","ACR-US-126-2015-681-156128 to 166127","2015","Version 1.0","10/4/2017 11:04:34 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"12/09/2019","Natural Capital Partners Americas, LLC","82801","On Behalf of Third Party","PwC 2018 Carbon Offset Purchase","ACR-US-126-2015-681-176128 to 258928","2015","Version 1.0","10/4/2017 11:04:34 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"12/04/2019","The Climate Trust","5000","Retail Program Requirements","Retired on behalf of Puget Sound Energy's Carbon Balance Customers","ACR-US-389-2018-718-165001 to 170000","2018","Version 1.0","5/3/2018 9:54:33 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR389","Winston Creek Forest Carbon Project","US","Morton, Washington","WASHINGTON","Forest Carbon",
"12/03/2019","Pachama Inc.","109","On Behalf of Third Party","Offsets Georgette Packaging  - October 2019","ACR-US-386-2018-813-315 to 423","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"12/03/2019","Pachama Inc.","19","On Behalf of Third Party","Offsets By Humankind","ACR-US-386-2018-813-296 to 314","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"11/19/2019","The Climate Trust","50","On Behalf of Third Party","Retired on behalf of LTA's 2019 Rally Staff","ACR-US-272-2015-421-245803 to 245852","2015","Version 1.0","4/25/2016 10:21:34 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR272","Bear Creek Watershed Forest Carbon Project","US","10 miles southeast of the city of Astoria","OREGON","Forest Carbon",
"11/15/2019","3Degrees Group, Inc.","26186","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2018-817-5913 to 32098","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","1062","Environmental Benefit","Transaction Reference 13152","ACR-US-212-2018-817-68884 to 69945","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","1333","Environmental Benefit","Transaction Reference 13151","ACR-US-212-2018-817-67551 to 68883","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","134","Environmental Benefit","Transaction Reference 13156","ACR-US-212-2018-817-5779 to 5912","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","134","Environmental Benefit","Transaction Reference 13155","ACR-US-212-2018-817-5645 to 5778","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","159","Environmental Benefit","Transaction Reference 13152","ACR-US-212-2018-817-5486 to 5644","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","1800","Environmental Benefit","Transaction Reference 13150","ACR-US-212-2018-817-65751 to 67550","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","3Degrees Group, Inc.","2959","Environmental Benefit","Transaction Reference 13148","ACR-US-212-2018-817-62792 to 65750","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"11/11/2019","Schneider Electric","2500","On Behalf of Third Party","Retirement on behalf of Maple Leaf Foods Inc.","ACR-US-376-2018-864-3668 to 6167","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"11/07/2019","Blue Source","2500","On Behalf of Third Party","On Behalf of Cool Effect","ACR-US-368-2018-804-2668 to 5167","2018","Version 1.0","2/5/2019 7:15:55 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR368","Blue Source - Middlebury Improved Forest Management Project","US","Middlebury, Vermont","VERMONT","Forest Carbon",
"11/05/2019","Element Markets Emissions, LLC","1614","Environmental Benefit","On behalf of emissions associated with AASHE 2019","ACR-US-122-2006-113-200602842 to 200604455","2006","Version 1.0","8/30/2007","No","","ACR122","Romeoville LFG to Energy","US","Romeoville","ILLINOIS","Landfill Gas Capture & Combustion",
"11/01/2019","1st Climate Solutions DBA Brian R. Anderson, Inc.","8684","On Behalf of Third Party","North American Power and Gas, LLC","ACR-US-464-2012-905-55802 to 64485","2012","Version 1.0","10/31/2019 5:57:13 PM","No","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","ACR464","Foam Blowing Agent Project 001H","US","Earth City","MISSOURI","Industrial Process Emissions",
"11/01/2019","1st Climate Solutions DBA Brian R. Anderson, Inc.","61316","On Behalf of Third Party","North American Power and Gas, LLC","ACR-US-463-2011-906-743 to 62058","2011","Version 1.0","10/31/2019 5:57:23 PM","No","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","ACR463","Foam Blowing Agent Project 001G","US","Earth City","MISSOURI","Industrial Process Emissions",
"10/28/2019","Arbor Day Foundation","1474","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2015-646-778358 to 779831","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/28/2019","Arbor Day Foundation","403","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2015-646-777955 to 778357","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/24/2019","The Nature Conservancy","35996","On Behalf of Third Party","On behalf of JPMorgan Chase & Co. in connection with employee air travel for 2018","ACR-US-375-2018-785-12001 to 47996","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"10/24/2019","The Nature Conservancy","14004","On Behalf of Third Party","On behalf of JPMorgan Chase & Co. in connection with employee air travel for 2018","ACR-US-375-2019-877-1 to 14004","2019","Version 1.0","8/22/2019 8:25:27 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"10/23/2019","Pachama Inc.","66","On Behalf of Third Party","Offsets Georgette Packaging","ACR-US-386-2018-813-230 to 295","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"10/23/2019","Pachama Inc.","66","On Behalf of Third Party","Offsets Georgette Packaging","ACR-US-368-2018-804-270 to 335","2018","Version 1.0","2/5/2019 7:15:55 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR368","Blue Source - Middlebury Improved Forest Management Project","US","Middlebury, Vermont","VERMONT","Forest Carbon",
"10/23/2019","Pachama Inc.","67","On Behalf of Third Party","Offsets Georgette Packaging","ACR-US-376-2018-864-231 to 297","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"10/23/2019","Arbor Day Foundation","100000","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2015-646-504213 to 604212","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/16/2019","Arbor Day Foundation","80","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2015-646-777275 to 777354","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/16/2019","Carbonfund.org","1120","Retail Program Requirements","Retired on behalf of Carbonfund.org's partner","ACR-US-119-2011-175-213622282 to 213623401","2011","Version 1.0","11/16/2011","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"10/16/2019","Carbonfund.org","6665","Retail Program Requirements","Retired on behalf of Carbonfund.org's partner","ACR-US-212-2018-817-85107 to 91771","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"10/16/2019","Carbonfund.org","13351","Retail Program Requirements","Retired on behalf of Carbonfund.org's partner","ACR-US-212-2018-817-43071 to 56421","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"10/07/2019","C2I LLC","17","On Behalf of Third Party","On Behalf of BCSE","ACR-US-114-2014-395-181978 to 181994","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/07/2019","Pachama Inc.","40","On Behalf of Third Party","Elias and Jen Wedding","ACR-US-368-2018-804-230 to 269","2018","Version 1.0","2/5/2019 7:15:55 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR368","Blue Source - Middlebury Improved Forest Management Project","US","Middlebury, Vermont","VERMONT","Forest Carbon",
"09/25/2019","Steuben County DPW, Solid Waste Division","36604","On Behalf of Third Party","anonymous","ACR-US-411-2018-830-1 to 36604","2018","Version 1.0","5/7/2019 7:56:19 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR411","Steuben County Bath Landfill GHG Offset Project","US","The project is located in a rural area on 5642 Turnpike Road in the Town of Bath, New York in Steuben County.","NEW YORK","Landfill Gas Capture & Combustion",
"09/24/2019","3Degrees Group, Inc.","328","On Behalf of Third Party","Transaction Reference 12066","ACR-US-114-2012-319-39937 to 40264","2012","Version 1.0","10/28/2013 7:47:53 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"09/12/2019","Pachama Inc.","229","On Behalf of Third Party","Offsets Georgette Packaging","ACR-US-386-2018-813-1 to 229","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"09/12/2019","Pachama Inc.","229","On Behalf of Third Party","Offsets Georgette Packaging","ACR-US-368-2018-804-1 to 229","2018","Version 1.0","2/5/2019 7:15:55 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR368","Blue Source - Middlebury Improved Forest Management Project","US","Middlebury, Vermont","VERMONT","Forest Carbon",
"09/12/2019","Pachama Inc.","230","On Behalf of Third Party","Offsets Georgette Packaging","ACR-US-376-2018-864-1 to 230","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"09/11/2019","ClimeCo Corporation","200","On Behalf of Third Party","98.9 WCLZ","ACR-US-119-2011-175-213623402 to 213623601","2011","Version 1.0","11/16/2011","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"09/11/2019","Blue Source","1000","On Behalf of Third Party","On behalf of Cool Effect, CEBRA0319","ACR-US-368-2018-804-1668 to 2667","2018","Version 1.0","2/5/2019 7:15:55 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR368","Blue Source - Middlebury Improved Forest Management Project","US","Middlebury, Vermont","VERMONT","Forest Carbon",
"09/06/2019","3Degrees Group, Inc.","13239","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2014-405-67717 to 80955","2014","Version 1.0","2/3/2016 8:55:34 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"09/06/2019","3Degrees Group, Inc.","1000","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2014-405-16956 to 17955","2014","Version 1.0","2/3/2016 8:55:34 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"09/06/2019","3Degrees Group, Inc.","882","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2014-405-81956 to 82837","2014","Version 1.0","2/3/2016 8:55:34 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"09/06/2019","3Degrees Group, Inc.","1568","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2013-407-60958 to 62525","2013","Version 1.0","2/3/2016 8:55:34 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"09/05/2019","Element Markets Emissions, LLC","23512","On Behalf of Third Party","Behalf of Univ. of California, Los Angeles UCLA","ACR-US-161-2006-117-200767632 to 200791143","2006","Version 1.0","8/30/2007","No","","ACR161","Upper Rock LFG to Energy","US","East Moline","ILLINOIS","Landfill Gas Capture & Combustion",
"09/05/2019","Element Markets Emissions, LLC","33422","On Behalf of Third Party","Retirement on behalf of Veolia Energy PA","ACR-US-112-2006-111-200443506 to 200476927","2006","Version 1.0","8/30/2007","No","","ACR112","Dolton LFG to Energy","US","Dolton","ILLINOIS","Landfill Gas Capture & Combustion",
"09/05/2019","Element Markets Emissions, LLC","36488","On Behalf of Third Party","Behalf of Univ. of California, Los Angeles UCLA","ACR-US-106-2006-107-200255454 to 200291941","2006","Version 1.0","8/30/2007","No","","ACR106","Brickyard LFG to Energy","US","Danville","ILLINOIS","Landfill Gas Capture & Combustion",
"08/30/2019","Natural Capital Partners Americas, LLC","7857","On Behalf of Third Party","Retirement on behalf of clients for Q1 and Q2 2019","ACR-US-126-2012-312-123642 to 131498","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"08/30/2019","Natural Capital Partners Americas, LLC","1565","On Behalf of Third Party","Retirement on behalf of clients for Q1 and Q2 2019","ACR-US-114-2012-319-110510 to 112074","2012","Version 1.0","10/28/2013 7:47:53 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"08/30/2019","The Nature Conservancy","21500","On Behalf of Third Party","Retire on behalf of BlackRock, Inc. to offset FY 2017 GHG emissions","ACR-US-424-2017-878-1 to 21500","2017","Version 1.0","8/29/2019 9:40:10 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR424","Albany Water Board - Improved Forest Management Project","US","Albany","NEW YORK","Forest Carbon",
