"Vintage","Offset Credit Serial Numbers","Quantity of Offset Credits","Status Effective","Project ID","Project Name","Project Type","Protocol Version","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","CORSIA Eligible","Account Holder","Retirement Reason","Retirement Reason Details",
"2017","CAR-1-US-574-4-234-SC-2017-5458-1 to 12096","12096","09/26/2018","CAR574","Bluesource - Berkeley County Landfill Gas Project","Landfill Gas Capture/Combustion","Version 2.1","Berkeley County","SOUTH CAROLINA","US","","No","Blue Source, LLC","On Behalf of Third Party","",
"2017","CAR-1-US-1247-37-234-MT-2017-5678-1 to 11871","11871","02/06/2019","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of client - FY18",
"2017","CAR-1-MX-1262-42-938-OA-2017-5878-1813 to 4741","2929","03/18/2020","CAR1262","Captura de Carbono en San Juan Lachao, Oaxaca","Forestry - MX","Version 1.4","San Juan Lachao Pueblo Nuevo","OAXACA","MX","","No","COMUNIDAD DE SAN JUAN LACHAO PUEBLO NUEVO","Environmental Benefit","Retirement of Credits on behalf of CoolEffect Inc. for december from CAR1262",
"2017","CAR-1-MX-1262-42-938-OA-2017-5876-1 to 12","12","01/08/2020","CAR1262","Captura de Carbono en San Juan Lachao, Oaxaca","Forestry - MX","Version 1.4","San Juan Lachao Pueblo Nuevo","OAXACA","MX","","No","COMUNIDAD DE SAN JUAN LACHAO PUEBLO NUEVO","Environmental Benefit","Créditos retirados a favor de menos dos grados",
"2017","CAR-1-MX-1262-42-938-OA-2017-5878-1 to 1812","1812","12/10/2019","CAR1262","Captura de Carbono en San Juan Lachao, Oaxaca","Forestry - MX","Version 1.4","San Juan Lachao Pueblo Nuevo","OAXACA","MX","","No","COMUNIDAD DE SAN JUAN LACHAO PUEBLO NUEVO","Environmental Benefit","Retirement of Credits on behalf of CoolEffect Inc. for November from CAR1262",
"2017","CAR-1-MX-1262-42-938-OA-2017-5876-257 to 405","149","03/18/2020","CAR1262","Captura de Carbono en San Juan Lachao, Oaxaca","Forestry - MX","Version 1.4","San Juan Lachao Pueblo Nuevo","OAXACA","MX","","No","COMUNIDAD DE SAN JUAN LACHAO PUEBLO NUEVO","Environmental Benefit","Retirement of Credits on behalf of CoolEffect Inc. for January 2020 from CAR1262",
"2017","CAR-1-MX-1262-42-938-OA-2017-5876-15 to 256","242","03/18/2020","CAR1262","Captura de Carbono en San Juan Lachao, Oaxaca","Forestry - MX","Version 1.4","San Juan Lachao Pueblo Nuevo","OAXACA","MX","","No","COMUNIDAD DE SAN JUAN LACHAO PUEBLO NUEVO","Environmental Benefit","Retirement of Credits on behalf of CoolEffect Inc. for december from CAR1262",
"2017","CAR-1-MX-1262-42-938-OA-2017-5876-13 to 14","2","02/14/2020","CAR1262","Captura de Carbono en San Juan Lachao, Oaxaca","Forestry - MX","Version 1.4","San Juan Lachao Pueblo Nuevo","OAXACA","MX","","No","COMUNIDAD DE SAN JUAN LACHAO PUEBLO NUEVO","Environmental Benefit","Créditos retirados a Nombre de Cristina Nieto y Aldo Gil",
"2017","CAR-1-MX-1282-42-938-PU-2017-6121-1 to 1116","1116","02/02/2021","CAR1282","Captura de carbono en San Rafael Ixtapalucan","Forestry - MX","Version 1.5","San Rafael Ixtapalucan","PUEBLA","MX","","No","Cultivo Land PBC","On Behalf of Third Party","Inherent Group LP",
"2017","CAR-1-US-866-34-386-WA-2017-5548-31986 to 32453","468","03/29/2019","CAR866","Cedar Grove - Maple Valley OWC Composting Project","Organic Waste Composting","Version 1.1","King County","WASHINGTON","US","","No","Bonneville Environmental Foundation","On Behalf of Third Party","Puget Sound Energy",
"2017","CAR-1-US-502-4-335-MI-2017-5475-1 to 50770","50770","11/13/2019","CAR502","Central Sanitary Landfill","Landfill Gas Capture/Combustion","Version 4.0","Pierson","MICHIGAN","US","","No","Just Energy Income Fund","Retail Program Requirements","Retirement for 2017 MI voluntary offset demand",
"2017","CAR-1-US-772-4-533-FL-2017-4411-1 to 978","978","01/02/2020","CAR772","Citrus County, Florida Landfill Gas Flare Project","Landfill Gas Capture/Combustion","Version 3.0","Citrus County; Lecanto","FLORIDA","US","","No","NativeEnergy, a Public Benefit Corporation","On Behalf of Third Party","Retired on behalf of Allbirds",
"2017","CAR-1-US-545-4-357-TX-2017-5470-1 to 27892","27892","08/30/2018","CAR545","City of Garland Landfill Carbon Project","Landfill Gas Capture/Combustion","Version 2.1","3175 Elm Grove, Rowlett, Texas","TEXAS","US","","No","Garland Power & Light","On Behalf of Third Party","",
"2017","CAR-1-US-545-4-357-TX-2017-5758-1 to 92931","92931","11/28/2019","CAR545","City of Garland Landfill Carbon Project","Landfill Gas Capture/Combustion","Version 2.1","3175 Elm Grove, Rowlett, Texas","TEXAS","US","","No","Garland Power & Light","On Behalf of Third Party","",
"2017","CAR-1-US-887-4-664-GA-2017-5531-1 to 50378","50378","11/20/2018","CAR887","City of Thomasville MSW Landfill","Landfill Gas Capture/Combustion","Version 3.0","Thomas County, GA","GEORGIA","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2017","CAR-1-MX-1285-42-938-PU-2017-5738-4895 to 5044","150","04/29/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of CoolEffect.inc for march 2020 from car1285",
"2017","CAR-1-MX-1285-42-938-PU-2017-5738-5045 to 5053","9","08/19/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of CoolEffect.inc for May 2017 from car1285",
"2017","CAR-1-MX-1285-42-938-PU-2017-5738-5063 to 5076","14","08/19/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of CoolEffect.inc for May 2019 from car1285",
"2017","CAR-1-MX-1285-42-938-PU-2017-5738-1 to 1723","1723","12/11/2019","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","Retirement of crédits on behalf of cooleffect. Inc for november from car 1285",
"2017","CAR-1-MX-1285-42-938-PU-2017-5738-5054 to 5062","9","08/19/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of CoolEffect.inc for June 2017 from car1285",
"2017","CAR-1-MX-1285-42-938-PU-2017-5742-1 to 502","502","03/18/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of cooleffect.inc for january 2020 from car1285",
"2017","CAR-1-MX-1285-42-938-PU-2017-5738-1724 to 4894","3171","03/18/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of cooleffect.inc for december 2019 from car1285",
"2017","CAR-1-US-503-4-667-MN-2017-5530-1 to 8168","8168","11/13/2018","CAR503","Crow Wing County Landfill Gas Collection System","Landfill Gas Capture/Combustion","Version 3.0","Crow Wing County","MINNESOTA","US","","No","Crow Wing County Solid Waste Management","On Behalf of Third Party","",
"2017","CAR-1-US-785-4-568-IA-2017-5936-1440 to 5000","3561","06/17/2020","CAR785","Dubuque Metropolitan Sanitary Landfill","Landfill Gas Capture/Combustion","Version 3.0","City of Dubuque, Iowa","IOWA","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","On Behalf of Carbonfund.org’s Partners",
"2017","CAR-1-US-785-4-568-IA-2017-5936-1 to 1439","1439","06/17/2020","CAR785","Dubuque Metropolitan Sanitary Landfill","Landfill Gas Capture/Combustion","Version 3.0","City of Dubuque, Iowa","IOWA","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","On Behalf of Carbonfund.org’s Partner",
"2017","CAR-1-US-639-30-449-TX-2017-5570-1 to 152178","152178","12/14/2018","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","",
"2017","CAR-1-US-639-30-449-TX-2017-4308-1 to 10000","10000","09/15/2017","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","ClimeCo Corporation","On Behalf of Third Party","Storm King School",
"2017","CAR-1-US-639-30-449-TX-2017-4419-1 to 227235","227235","08/01/2018","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","environmental benefit",
"2017","CAR-1-US-639-30-449-TX-2017-4308-10001 to 366704","356704","12/06/2017","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","environmental benefit",
"2017","CAR-1-US-444-4-869-OH-2017-5546-1 to 46817","46817","01/13/2020","CAR444","Erie County Landfill","Landfill Gas Capture/Combustion","Version 3.0","Milan","OHIO","US","","No","The Newhall Land and Farming Company, LLC","Compliance Requirements","GHG Mitigation",
"2017","CAR-1-US-444-4-869-OH-2017-5667-1 to 31942","31942","01/13/2020","CAR444","Erie County Landfill","Landfill Gas Capture/Combustion","Version 3.0","Milan","OHIO","US","","No","The Newhall Land and Farming Company, LLC","Compliance Requirements","GHG Mitigation",
"2017","CAR-1-US-996-5-212-OR-2017-5447-1 to 13838","13838","05/17/2018","CAR996","Farm Power Misty Meadow Anaerobic Digester","Livestock Gas Capture/Combustion","Version 3.0","Tillamook County","OREGON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NW Natural Smart Energy Customers",
"2017","CAR-1-US-416-5-874-WA-2017-5422-1 to 5626","5626","03/20/2018","CAR416","Farm Power Rexville Regional Digester","Livestock Gas Capture/Combustion","Version 2.0","Mount Vernon","WASHINGTON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN Smart Energy customers",
"2017","CAR-1-US-416-5-874-WA-2017-5709-1 to 3052","3052","05/08/2019","CAR416","Farm Power Rexville Regional Digester","Livestock Gas Capture/Combustion","Version 2.0","Mount Vernon","WASHINGTON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2017","CAR-1-US-988-5-212-OR-2017-5451-1 to 7424","7424","05/17/2018","CAR988","Farm Power Tillamook Regional Digester","Livestock Gas Capture/Combustion","Version 3.0","Tillamook","OREGON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NW Natural Smart Energy Customers",
"2017","CAR-1-US-475-4-817-NC-2017-5575-40924 to 41826","903","11/05/2018","CAR475","Gaston County Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Gaston County, Dallas, NC","NORTH CAROLINA","US","","No","ClimeCo Corporation","On Behalf of Third Party","Elon University",
"2017","CAR-1-US-475-4-817-NC-2017-5575-41827 to 91826","50000","10/24/2018","CAR475","Gaston County Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Gaston County, Dallas, NC","NORTH CAROLINA","US","","No","ACT Commodities Inc.","On Behalf of Third Party","On behalf of IDT Energy for 2017 voluntary program",
"2017","CAR-1-US-475-4-817-NC-2017-4356-1 to 16804","16804","05/17/2018","CAR475","Gaston County Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Gaston County, Dallas, NC","NORTH CAROLINA","US","","No","Schneider Electric","Other","Green-e Climate RY2017",
"2017","CAR-1-US-475-4-817-NC-2017-4356-16805 to 23807","7003","07/19/2018","CAR475","Gaston County Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Gaston County, Dallas, NC","NORTH CAROLINA","US","","No","Schneider Electric","On Behalf of Third Party","Retirement on behalf of Capital One Services, LLC",
"2017","CAR-1-US-475-4-817-NC-2017-4356-23808 to 24157","350","06/18/2020","CAR475","Gaston County Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Gaston County, Dallas, NC","NORTH CAROLINA","US","","No","Schneider Electric","Other","Green-e Climate RY2019",
"2017","CAR-1-US-465-4-273-MS-2017-5472-1 to 20370","20370","11/27/2018","CAR465","GTR Solid Waste Landfill","Landfill Gas Capture/Combustion","Version 3.0","Oktibbeha/Clay county near Starkville MS","MISSISSIPPI","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2017","CAR-1-US-635-4-207-OH-2017-4340-1 to 46966","46966","01/30/2018","CAR635","Hancock County Landfill Gas Collection Project","Landfill Gas Capture/Combustion","Version 3.0","Hancock County","OHIO","US","","No","3Degrees Group, Inc","On Behalf of Third Party","",
"2017","CAR-1-US-635-4-207-OH-2017-5624-1 to 52834","52834","12/13/2018","CAR635","Hancock County Landfill Gas Collection Project","Landfill Gas Capture/Combustion","Version 3.0","Hancock County","OHIO","US","","No","3Degrees Group, Inc","On Behalf of Third Party","",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-817 to 1316","500","08/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-3720 to 3919","200","08/30/2019","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of clients for Q1 and Q2 2019",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-4320 to 4618","299","08/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-3920 to 4319","400","02/10/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of clients for Q3 2019",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-4619 to 5358","740","08/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-5359 to 6098","740","08/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-1920 to 3719","1800","08/26/2019","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of client - FY17",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-1 to 816","816","02/06/2019","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of client - FY18",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-1317 to 1919","603","08/30/2019","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of clients for Q1 and Q2 2019",
"2017","CAR-1-US-1238-37-925-CO-2017-5662-6099 to 6117","19","08/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2017","CAR-1-US-422-4-217-FL-2017-5441-14087 to 14307","221","05/14/2019","CAR422","Hernando County Landfill Electric Generation","Landfill Gas Capture/Combustion","Version 2.0","Brooksville","FLORIDA","US","","No","Just Energy Income Fund","Retail Program Requirements","Retired on behalf of Lam Research",
"2017","CAR-1-US-422-4-217-FL-2017-5441-14308 to 19121","4814","05/14/2019","CAR422","Hernando County Landfill Electric Generation","Landfill Gas Capture/Combustion","Version 2.0","Brooksville","FLORIDA","US","","No","Just Energy Income Fund","Retail Program Requirements","Retired on behalf of Oracle Corp.",
"2017","CAR-1-US-422-4-217-FL-2017-5441-19122 to 21659","2538","05/14/2019","CAR422","Hernando County Landfill Electric Generation","Landfill Gas Capture/Combustion","Version 2.0","Brooksville","FLORIDA","US","","No","Just Energy Income Fund","Retail Program Requirements","Retired on behalf of Uship",
"2017","CAR-1-US-422-4-217-FL-2017-5441-21660 to 42950","21291","11/13/2019","CAR422","Hernando County Landfill Electric Generation","Landfill Gas Capture/Combustion","Version 2.0","Brooksville","FLORIDA","US","","No","Just Energy Income Fund","Retail Program Requirements","Retirement for 2017 NY voluntary offset demand",
"2017","CAR-1-US-422-4-217-FL-2017-5441-14034 to 14086","53","05/14/2019","CAR422","Hernando County Landfill Electric Generation","Landfill Gas Capture/Combustion","Version 2.0","Brooksville","FLORIDA","US","","No","Just Energy Income Fund","Retail Program Requirements","Retired on behalf of Enterprise Rent-a-car",
"2017","CAR-1-US-422-4-217-FL-2017-5441-1 to 14033","14033","05/14/2019","CAR422","Hernando County Landfill Electric Generation","Landfill Gas Capture/Combustion","Version 2.0","Brooksville","FLORIDA","US","","No","Just Energy Income Fund","Retail Program Requirements","In support of Terrapass commercial sales 2017",
"2017","CAR-1-US-829-4-207-VA-2017-5429-3938 to 4250","313","04/23/2019","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","CarbonSpace, Inc.",
"2017","CAR-1-US-829-4-207-VA-2017-5429-3851 to 3932","82","06/26/2020","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","Just Energy Income Fund","Retail Program Requirements","Terrapass Green-e RY2019",
"2017","CAR-1-US-829-4-207-VA-2017-5429-1 to 1337","1337","04/23/2019","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","CarbonSpace, Inc.",
"2017","CAR-1-US-829-4-207-VA-2017-5577-1 to 675","675","04/23/2019","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","CarbonSpace, Inc.",
"2017","CAR-1-US-829-4-207-VA-2017-5577-676 to 3049","2374","01/13/2021","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","Schneider Electric","On Behalf of Third Party","Retirement on behalf of Tower Companies",
"2017","CAR-1-US-829-4-207-VA-2017-5577-14926 to 18549","3624","06/26/2020","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","Carbon Offset",
"2017","CAR-1-US-829-4-207-VA-2017-5577-8926 to 14925","6000","01/24/2020","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","Climate Neutral",
"2017","CAR-1-US-829-4-207-VA-2017-5577-8550 to 8925","376","01/13/2021","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","Schneider Electric","On Behalf of Third Party","Retirement on behalf of Tower Companies",
"2017","CAR-1-US-829-4-207-VA-2017-5429-1338 to 3850","2513","05/23/2018","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 3.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","Just Energy Income Fund","Retirement for Person or Organization","2017 Terrapass - Retirement for Bollinger",
"2017","CAR-1-US-776-4-553-LA-2017-5473-1 to 5104","5104","11/02/2018","CAR776","IESI-Trinity LaSalle/Grant Carbon Project","Landfill Gas Capture/Combustion","Version 3.0","LaSalle Parish","LOUISIANA","US","","No","IESI LA Landfill Corporation","On Behalf of Third Party","",
"2017","CAR-1-US-838-4-630-MO-2017-5605-1 to 51827","51827","12/10/2018","CAR838","IESI-Trinity Timber Ridge Landfill Carbon Project","Landfill Gas Capture/Combustion","Version 3.0","Washington County, MO","MISSOURI","US","","No","Timber Ridge Landfill Company","On Behalf of Third Party","",
"2017","CAR-1-US-838-4-630-MO-2017-5859-1 to 13274","13274","02/07/2020","CAR838","IESI-Trinity Timber Ridge Landfill Carbon Project","Landfill Gas Capture/Combustion","Version 3.0","Washington County, MO","MISSOURI","US","","No","Timber Ridge Landfill Company","On Behalf of Third Party","",
"2017","CAR-1-US-812-4-553-LA-2017-5485-1 to 15524","15524","11/02/2018","CAR812","IESI-Trinity Timberlane Carbon Project","Landfill Gas Capture/Combustion","Version 3.0","Allen Parish","LOUISIANA","US","","No","IESI LA Landfill Corporation","On Behalf of Third Party","",
"2017","CAR-1-US-646-25-418-ME-2017-5848-1 to 1140","1140","02/02/2021","CAR646","Katahdin Iron Works Ecological Reserve","Improved Forest Management","Version 3.2","Piscataquis County, Maine; east of Greenville","MAINE","US","","No","The Walt Disney Company","Other","Retired on behalf of Disney's 2020 greenhouse gas emissions	",
"2017","CAR-1-US-646-25-418-ME-2017-5509-1 to 4738","4738","01/09/2019","CAR646","Katahdin Iron Works Ecological Reserve","Improved Forest Management","Version 3.2","Piscataquis County, Maine; east of Greenville","MAINE","US","","No","The Walt Disney Company","Other","Retired on behalf of Disney’s 2018 greenhouse gas emissions",
"2017","CAR-1-US-621-4-415-OH-2017-5462-49585 to 164605","115021","11/20/2018","CAR621","Kimble Sanitary Landfill Gas Project","Landfill Gas Capture/Combustion","Version 3.0","Dover","OHIO","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2017","CAR-1-US-621-4-415-OH-2017-5462-1 to 49584","49584","11/20/2018","CAR621","Kimble Sanitary Landfill Gas Project","Landfill Gas Capture/Combustion","Version 3.0","Dover","OHIO","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2017","CAR-1-US-1050-4-844-OK-2017-5598-1 to 45140","45140","12/11/2018","CAR1050","Lawton GCCS","Landfill Gas Capture/Combustion","Version 4.0","City of Lawton, Comanche County","OKLAHOMA","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2017","CAR-1-US-1096-34-386-WA-2017-5612-1 to 11898","11898","11/01/2018","CAR1096","Lenz Composting","Organic Waste Composting","Version 1.1","5210 SR 532 Stanwood WA 98292 (Snohomish County)","WASHINGTON","US","","No","The Climate Trust","Compliance Requirements","Retirement on behalf of Invenergy",
"2017","CAR-1-US-455-4-207-NE-2017-5507-1 to 63102","63102","03/13/2019","CAR455","LP Gill Landfill Gas Recovery Project","Landfill Gas Capture/Combustion","Version 3.0","Jackson","NEBRASKA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","Transaction Reference 10220",
"2017","CAR-1-US-998-5-212-CA-2017-4292-1 to 1832","1832","08/22/2017","CAR998","Maas Energy Works Van Warmerdam Dairy Digester","Livestock Gas Capture/Combustion","Version 4.0","Galt, CA","CALIFORNIA","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN Smart Energy customers",
"2017","CAR-1-US-998-5-212-CA-2017-5545-1 to 5345","5345","08/27/2018","CAR998","Maas Energy Works Van Warmerdam Dairy Digester","Livestock Gas Capture/Combustion","Version 4.0","Galt, CA","CALIFORNIA","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NW Natural Smart Energy customers",
"2017","CAR-1-US-521-4-339-MO-2017-5939-1 to 34224","34224","10/22/2020","CAR521","Maple Hill Landfill","Landfill Gas Capture/Combustion","Version 5.0","Macon","MISSOURI","US","","No","Maple Leaf Foods","Environmental Benefit","Carbon Neutral",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-8465 to 8664","200","06/20/2019","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","On Behalf of Third Party","Retired on behalf of NativeEnergy's Clients",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-4501 to 7500","3000","07/17/2018","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","On Behalf of Third Party","NativeEnergy, Inc.: Retired on behalf of Salesforce",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-1232 to 2611","1380","06/12/2019","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","NativeEnergy, a Public Benefit Corporation","On Behalf of Third Party","Retired by NativeEnergy on behalf of Cool Effect",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-7801 to 7867","67","08/10/2018","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","On Behalf of Third Party","2017 PCI Community",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-7868 to 8167","300","08/10/2018","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","On Behalf of Third Party","2018 Galloping Goose",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-8168 to 8464","297","02/18/2019","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","On Behalf of Third Party","Telluride Bluegass Beer Booth",
"2017","CAR-1-US-1261-37-944-CO-2017-5477-8665 to 9910","1246","05/20/2020","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","Environmental Benefit","On behalf of Christopher F. Arndt",
